Метод сжатия,Тестовый файл,Размер до компрессии,Размер после компрессии,Размер после декомпрессии,Коэффициент сжатия,Корректность декомпресии
НА,pic_original.raw,29525760,28117495,29525760,1.05,True
НА,книга.txt,1943819,994135,1943819,1.955,True
НА,enwik7.txt,10000000,6413395,10000000,1.559,True
НА,pic_bg.jpg,5219077,5214687,5219077,1.001,True
НА,pic_bw.jpg,2232944,2227200,2232944,1.003,True
НА,pic_original.jpg,9876678,9873747,9876678,1.0,True
НА,registry.x86_64.bin,1183424,824065,1183424,1.436,True
RLE,pic_original.raw,29525760,29863662,29525760,0.989,True
RLE,книга.txt,1943819,1960790,1943819,0.991,True
RLE,enwik7.txt,10000000,10444523,10000000,0.957,True
RLE,pic_bg.jpg,5219077,5272911,5219077,0.99,True
RLE,pic_bw.jpg,2232944,2257217,2232944,0.989,True
RLE,pic_original.jpg,9876678,9982288,9876678,0.989,True
RLE,registry.x86_64.bin,1183424,1170844,1183424,1.011,True
LZ77,pic_original.raw,29525760,41266279,29525760,0.715,True
LZ77,книга.txt,1943819,1076329,1943819,1.806,True
LZ77,enwik7.txt,10000000,7763779,10000000,1.288,True
LZ77,pic_bg.jpg,5219077,11291139,5219077,0.462,True
LZ77,pic_bw.jpg,2232944,4755039,2232944,0.47,True
LZ77,pic_original.jpg,9876678,21393789,9876678,0.462,True
LZ77,registry.x86_64.bin,1183424,217909,1183424,5.431,True
LZ78,pic_original.raw,29525760,32510254,29525760,0.908,True
LZ78,книга.txt,1943819,1093499,1943819,1.778,True
LZ78,enwik7.txt,10000000,6760529,10000000,1.479,True
LZ78,pic_bg.jpg,5219077,8523584,5219077,0.612,True
LZ78,pic_bw.jpg,2232944,3573674,2232944,0.625,True
LZ78,pic_original.jpg,9876678,15957834,9876678,0.619,True
LZ78,registry.x86_64.bin,1183424,491614,1183424,2.407,True
LZ78 + HA,pic_original.raw,29525760,28166499,29525760,1.048,True
LZ78 + HA,книга.txt,1943819,791060,1943819,2.457,True
LZ78 + HA,enwik7.txt,10000000,5410268,10000000,1.848,True
LZ78 + HA,pic_bg.jpg,5219077,6689966,5219077,0.78,True
LZ78 + HA,pic_bw.jpg,2232944,2704804,2232944,0.826,True
LZ78 + HA,pic_original.jpg,9876678,12501005,9876678,0.79,True
LZ78 + HA,registry.x86_64.bin,1183424,350312,1183424,3.378,True
LZ77 + HA,pic_original.raw,29525760,31086461,29525760,0.95,True
LZ77 + HA,книга.txt,1943819,847012,1943819,2.295,True
LZ77 + HA,enwik7.txt,10000000,6044804,10000000,1.654,True
LZ77 + HA,pic_bg.jpg,5219077,8241365,5219077,0.633,True
LZ77 + HA,pic_bw.jpg,2232944,3445809,2232944,0.648,True
LZ77 + HA,pic_original.jpg,9876678,15612920,9876678,0.633,True
LZ77 + HA,registry.x86_64.bin,1183424,169115,1183424,6.998,True
BWT + RLE,pic_original.raw,29525760,27574268,29525760,1.071,True
BWT + RLE,книга.txt,1943819,827852,1943819,2.348,True
BWT + RLE,enwik7.txt,10000000,6402828,10000000,1.562,True
BWT + RLE,pic_bg.jpg,5219077,5281898,5219077,0.988,True
BWT + RLE,pic_bw.jpg,2232944,2114873,2232944,1.056,True
BWT + RLE,pic_original.jpg,9876678,9984223,9876678,0.989,True
BWT + RLE,registry.x86_64.bin,1183424,153753,1183424,7.697,True
BWT + MTF + HA,pic_original.raw,29525760,15024361,29525760,1.965,True
BWT + MTF + HA,книга.txt,1943819,484869,1943819,4.009,True
BWT + MTF + HA,enwik7.txt,10000000,3136377,10000000,3.188,True
BWT + MTF + HA,pic_bg.jpg,5219077,5185266,5219077,1.007,True
BWT + MTF + HA,pic_bw.jpg,2232944,2048363,2232944,1.09,True
BWT + MTF + HA,pic_original.jpg,9876678,9870707,9876678,1.001,True
BWT + MTF + HA,registry.x86_64.bin,1183424,186570,1183424,6.343,True
BWT + MTF + RLE + HA,pic_original.raw,29525760,16532466,29525760,1.786,True
BWT + MTF + RLE + HA,книга.txt,1943819,435600,1943819,4.462,True
BWT + MTF + RLE + HA,enwik7.txt,10000000,3430563,10000000,2.915,True
BWT + MTF + RLE + HA,pic_bg.jpg,5219077,5235456,5219077,0.997,True
BWT + MTF + RLE + HA,pic_bw.jpg,2232944,2063595,2232944,1.082,True
BWT + MTF + RLE + HA,pic_original.jpg,9876678,9964898,9876678,0.991,True
BWT + MTF + RLE + HA,registry.x86_64.bin,1183424,95434,1183424,12.4,True
